,Geo_NAME,Total Population,Population Density (Per Sq. Mile),Area (Land),15 to 24 Years,25 to 34 Years,35 to 44 Years,45 to 54 Years,55 to 59 Years,60 to 64 Years,65 to 74 Years,75 to 84 Years,85 Years and Over,Median Gross Rent,White Alone (Number of people),Black or African American Alone,American Indian and Alaska Native Alone,Asian Alone,Native Hawaiian and Other Pacific Islander Alone,Some Other Race Alone,Two or More Races,Not Hispanic or Latino,Hispanic or Latino,Renter-Occupied Housing Units,Number of units Less than $300 (monthly),$300 to $499,$500 to $799,$800 to $999,"$1,000 to $1,499","$1,500 to $1,999","$2,000 to $2,499","$2,500 to $2,999","$3,000 or More",No Cash Rent,Total,No Health Insurance Coverage,With Health Insurance Coverage,Public Health Coverage,Private Health Insurance,GEOID,TRACTCE,COUNTYFP,NAME,NAMELSAD,INTPTLAT,INTPTLON
59,"Census Tract 4059.01, Alameda County, California",4293,24567.2,0.174745211174724,32,178,136,268,9,30,25,37,0,928.0,609,900,178,1681,0,916,9,2727,1566,715,35,114,138,123,187,105,0,0,0,13,4293,869,3424,2208,1399,6001405901,405901,1,4059.01,Census Tract 4059.01,37.787786,-122.23577009999998
60,"Census Tract 4059.02, Alameda County, California",3170,16849.17,0.188139867829503,70,128,121,111,48,64,97,26,13,968.0,518,316,31,1571,74,517,143,2256,914,678,29,78,72,184,186,94,14,4,0,17,3156,645,2511,1581,1144,6001405902,405902,1,4059.02,Census Tract 4059.02,37.790944700000004,-122.240953
61,"Census Tract 4060, Alameda County, California",3447,4225.859,0.81569219625728,46,247,232,275,44,138,187,111,9,745.0,889,614,22,1602,0,228,92,3100,347,1289,168,168,282,30,254,151,146,19,0,71,3447,430,3017,1764,1511,6001406000,406000,1,4060.0,Census Tract 4060,37.7915385,-122.251342
62,"Census Tract 4061, Alameda County, California",4835,6792.0869999999995,0.711857738337012,29,232,403,101,99,38,90,41,0,1343.0,1818,416,142,619,30,1684,126,1862,2973,1033,67,35,36,139,379,215,63,62,11,26,4835,1129,3706,1716,2228,6001406100,406100,1,4061.0,Census Tract 4061,37.7741755,-122.2275801
63,"Census Tract 4062.01, Alameda County, California",4296,27266.11,0.157558258957184,43,389,291,232,41,39,39,17,0,997.0,1176,702,14,999,131,880,394,2394,1902,1091,47,8,232,255,389,104,35,6,0,15,4247,719,3528,1881,1949,6001406201,406201,1,4062.01,Census Tract 4062.01,37.785044899999995,-122.23073600000001
64,"Census Tract 4062.02, Alameda County, California",4674,30867.23,0.15142270929440602,63,284,319,209,97,58,74,44,15,987.0,2277,500,339,397,0,830,331,1688,2986,1163,35,44,189,322,359,86,96,0,0,32,4479,1368,3111,2042,1258,6001406202,406202,1,4062.02,Census Tract 4062.02,37.7819786,-122.2265557
65,"Census Tract 4063, Alameda County, California",4148,22117.1,0.18754720099089303,19,217,112,171,8,88,108,28,23,1062.0,1071,656,6,1659,0,473,283,2854,1294,774,88,48,97,103,264,140,22,0,12,0,4148,552,3596,2156,1619,6001406300,406300,1,4063.0,Census Tract 4063,37.7892881,-122.2250125
66,"Census Tract 4064, Alameda County, California",2218,11773.81,0.18838427050627302,9,72,43,107,28,21,40,61,55,1370.0,758,633,16,536,0,133,142,1859,359,436,9,25,37,31,147,70,63,0,41,13,2104,239,1865,988,1121,6001406400,406400,1,4064.0,Census Tract 4064,37.796806,-122.22172009999998
67,"Census Tract 4065, Alameda County, California",6574,22853.12,0.287663108863825,8,409,300,304,197,106,64,14,28,1152.0,1853,1233,107,1505,12,1574,290,3370,3204,1430,40,13,56,364,685,233,29,0,0,10,6574,1134,5440,2486,3390,6001406500,406500,1,4065.0,Census Tract 4065,37.788081299999995,-122.2169867
68,"Census Tract 4066.01, Alameda County, California",4835,16754.76,0.288574696098978,21,235,220,161,45,134,30,11,28,1361.0,1053,1425,22,1079,5,652,599,3548,1287,885,0,26,77,98,384,230,63,7,0,0,4835,369,4466,1951,2784,6001406601,406601,1,4066.01,Census Tract 4066.01,37.7936093,-122.20796059999999
69,"Census Tract 4066.02, Alameda County, California",2767,17280.16,0.16012583842087302,4,146,175,168,52,36,69,6,6,1085.0,787,543,39,1013,7,279,99,2068,699,662,16,38,86,108,256,94,17,15,0,32,2767,542,2225,786,1559,6001406602,406602,1,4066.02,Census Tract 4066.02,37.7964782,-122.2143072
70,"Census Tract 4067, Alameda County, California",4969,7643.549,0.650090656790688,131,141,192,109,30,45,135,28,18,1334.0,2961,566,21,858,0,305,258,4301,668,829,77,104,41,80,196,131,105,28,32,35,4947,198,4749,1353,3930,6001406700,406700,1,4067.0,Census Tract 4067,37.8033164,-122.2022249
71,"Census Tract 4068, Alameda County, California",3483,9885.646,0.352329045539979,9,174,100,66,0,20,72,8,0,1386.0,1681,405,37,810,24,185,341,2983,500,449,0,40,43,72,76,69,104,0,37,8,3477,154,3323,956,2712,6001406800,406800,1,4068.0,Census Tract 4068,37.7978944,-122.1949575
